id,stockout_days,lost_units,total_demand,fill_rate,avg_on_hand
FOODS_1_130_CA_1_evaluation,2,3.2987581795245955,21.0,0.8429162771654954,7.133074222499414
FOODS_1_131_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_132_CA_1_evaluation,1,2.994727048140266,12.0,0.7504394126549778,4.647941775007602
FOODS_1_133_CA_1_evaluation,0,0.0,7.0,1.0,4.071150604170406
FOODS_1_134_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_135_CA_1_evaluation,1,0.20096456370022153,15.0,0.9866023624199852,4.456419434367689
FOODS_1_136_CA_1_evaluation,0,0.0,5.0,1.0,5.79863443800585
FOODS_1_137_CA_1_evaluation,6,24.954850357491466,84.0,0.7029184481251016,10.818890057279678
FOODS_1_138_CA_1_evaluation,0,0.0,22.0,1.0,7.798853664688907
FOODS_1_139_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_140_CA_1_evaluation,1,1.412822564436091,24.0,0.9411323931484962,3.5242655674677783
FOODS_1_141_CA_1_evaluation,0,0.0,28.0,1.0,7.07206537027931
FOODS_1_142_CA_1_evaluation,1,0.08630561044427765,21.0,0.995890209026463,7.860759877508071
FOODS_1_143_CA_1_evaluation,2,2.110954453720929,31.0,0.9319046950412604,8.523927016852165
FOODS_1_144_CA_1_evaluation,1,0.5107108588883342,21.0,0.9756804352910317,4.507528814643395
FOODS_1_145_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_146_CA_1_evaluation,0,0.0,37.0,1.0,6.614887488835726
FOODS_1_147_CA_1_evaluation,0,0.0,0.0,1.0,0.11043328327161386
FOODS_1_148_CA_1_evaluation,0,0.0,0.0,1.0,0.11001674061171554
FOODS_1_149_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_150_CA_1_evaluation,1,0.512865419072078,28.0,0.9816833778902829,6.630910682290208
FOODS_1_151_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_152_CA_1_evaluation,0,0.0,13.0,1.0,3.7452261642019313
FOODS_1_153_CA_1_evaluation,2,3.9017350334547487,32.0,0.8780707802045391,9.073698724908942
FOODS_1_154_CA_1_evaluation,0,0.0,1.0,1.0,7.108586371023638
FOODS_1_155_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_156_CA_1_evaluation,0,0.0,14.0,1.0,6.431425432501525
FOODS_1_157_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_158_CA_1_evaluation,0,0.0,15.0,1.0,5.679416940102429
FOODS_1_159_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_160_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_161_CA_1_evaluation,0,0.0,226.0,1.0,46.21316146820125
FOODS_1_162_CA_1_evaluation,4,7.095342859105024,57.0,0.8755203007174557,15.428492855671236
FOODS_1_163_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_164_CA_1_evaluation,0,0.0,0.0,1.0,0.21668471178484966
FOODS_1_166_CA_1_evaluation,0,0.0,90.0,1.0,12.13277158161826
FOODS_1_167_CA_1_evaluation,0,0.0,24.0,1.0,5.245351478597506
FOODS_1_168_CA_1_evaluation,0,0.0,24.0,1.0,5.696472190201633
FOODS_1_169_CA_1_evaluation,1,1.6804453040654312,16.0,0.8949721684959105,5.572507261091445
FOODS_1_170_CA_1_evaluation,0,0.0,0.0,1.0,0.6351104608279247
FOODS_1_171_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_172_CA_1_evaluation,1,0.15132131521426118,54.0,0.9971977534219582,6.993651870732161
FOODS_1_173_CA_1_evaluation,8,21.528126942203976,88.0,0.7553621938385912,10.662108854766796
FOODS_1_174_CA_1_evaluation,0,0.0,12.0,1.0,4.51260316656277
FOODS_1_175_CA_1_evaluation,1,0.23682553715590515,31.0,0.9923604665433579,7.536666561418784
FOODS_1_176_CA_1_evaluation,0,0.0,4.0,1.0,4.231942824965419
FOODS_1_177_CA_1_evaluation,2,1.4535831485578443,8.0,0.8183021064302695,4.909812638581618
FOODS_1_178_CA_1_evaluation,0,0.0,8.0,1.0,3.0603825406160268
FOODS_1_179_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_180_CA_1_evaluation,0,0.0,29.0,1.0,10.045238858807474
FOODS_1_181_CA_1_evaluation,3,5.731647937503382,79.0,0.9274474944619825,8.626762306918492
FOODS_1_182_CA_1_evaluation,0,0.0,9.0,1.0,7.982299351174198
FOODS_1_183_CA_1_evaluation,0,0.0,114.0,1.0,13.4750804590205
FOODS_1_184_CA_1_evaluation,0,0.0,54.0,1.0,18.410809721977877
FOODS_1_185_CA_1_evaluation,1,0.5315077923335316,19.0,0.9720259056666563,5.494226298606994
FOODS_1_186_CA_1_evaluation,1,0.8546025884428978,21.0,0.9593046386455762,2.3233337729535393
FOODS_1_187_CA_1_evaluation,3,4.725539768316153,36.0,0.8687350064356624,7.3186150579209635
FOODS_1_188_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_189_CA_1_evaluation,0,0.0,15.0,1.0,4.549140750039471
FOODS_1_190_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_191_CA_1_evaluation,0,0.0,9.0,1.0,5.646811496097334
FOODS_1_192_CA_1_evaluation,0,0.0,49.0,1.0,8.210705619191543
FOODS_1_193_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_194_CA_1_evaluation,1,2.868534613046066,30.0,0.9043821795651311,11.348599040215456
